DataId,SupportSkillType,SupportSkillName,Name,Description,IconLabel,HpRegen,HealRate,HealBonusRate,MagneticRange,GetSoul,HpRate,AtkRate,DefRate,MoveSpeedRate,CriRate,CriDmg,DamageReduction,ExpBonusRate,SoulBonusRate,ProjectileSpacing,Duration,NumProjectiles,AttackInterval,NumBounce,NumPenerations,ProjRange,RoatateSpeed,ScaleMultiplier,Price
20101,General,Critical,치명타 확률 증가,치명타 확률 3% 증가,GeneralSupportSkillIcon_01.sprite,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,45
20102,General,Critical,치명타 확률 증가,치명타 확률 5% 증가,GeneralSupportSkillIcon_01.sprite,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,55
20103,General,Critical,치명타 확률 증가,치명타 확률 7% 증가,GeneralSupportSkillIcon_01.sprite,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,80
20104,General,Critical,치명타 확률 증가,치명타 확률 9% 증가,GeneralSupportSkillIcon_01.sprite,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,160
20201,General,MaxHpBonus,최대 체력 증가,최대 체력 3% 증가,GeneralSupportSkillIcon_02.sprite,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
20202,General,MaxHpBonus,최대 체력 증가,최대 체력 6% 증가,GeneralSupportSkillIcon_02.sprite,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
20203,General,MaxHpBonus,최대 체력 증가,최대 체력 9% 증가,GeneralSupportSkillIcon_02.sprite,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
20204,General,MaxHpBonus,최대 체력 증가,최대 체력 12% 증가,GeneralSupportSkillIcon_02.sprite,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
20301,General,ExpBonus,경험치 획득량 증가,경험치 획득량 3% 증가,GeneralSupportSkillIcon_03.sprite,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,45
20302,General,ExpBonus,경험치 획득량 증가,경험치 획득량 6% 증가,GeneralSupportSkillIcon_03.sprite,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,55
20303,General,ExpBonus,경험치 획득량 증가,경험치 획득량 9% 증가,GeneralSupportSkillIcon_03.sprite,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,80
20304,General,ExpBonus,경험치 획득량 증가,경험치 획득량 12% 증가,GeneralSupportSkillIcon_03.sprite,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,160
20501,General,DamageReduction,받는 피해량 감소,받는 피해량 5% 감소,GeneralSupportSkillIcon_05.sprite,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,45
20502,General,DamageReduction,받는 피해량 감소,받는 피해량 8% 감소,GeneralSupportSkillIcon_05.sprite,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,55
20503,General,DamageReduction,받는 피해량 감소,받는 피해량 10% 감소,GeneralSupportSkillIcon_05.sprite,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,80
20504,General,DamageReduction,받는 피해량 감소,받는 피해량 12% 감소,GeneralSupportSkillIcon_05.sprite,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,160
20601,General,AtkBonusRate,공격력 증가,공격력 5% 증가,GeneralSupportSkillIcon_06.sprite,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
20602,General,AtkBonusRate,공격력 증가,공격력 8% 증가,GeneralSupportSkillIcon_06.sprite,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
20603,General,AtkBonusRate,공격력 증가,공격력 10% 증가,GeneralSupportSkillIcon_06.sprite,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
20604,General,AtkBonusRate,공격력 증가,공격력 12% 증가,GeneralSupportSkillIcon_06.sprite,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
20701,General,MoveBonusRate,이동속도 증가,이동속도 5% 증가,GeneralSupportSkillIcon_07.sprite,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
20702,General,MoveBonusRate,이동속도 증가,이동속도 8% 증가,GeneralSupportSkillIcon_07.sprite,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
20703,General,MoveBonusRate,이동속도 증가,이동속도 10% 증가,GeneralSupportSkillIcon_07.sprite,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
20704,General,MoveBonusRate,이동속도 증가,이동속도 12% 증가,GeneralSupportSkillIcon_07.sprite,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
20801,General,Healing,체력 회복,최대 체력의 10% 회복,GeneralSupportSkillIcon_08.sprite,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
20802,General,Healing,체력 회복,최대 체력의 15% 회복,GeneralSupportSkillIcon_08.sprite,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
20803,General,Healing,체력 회복,최대 체력의 20% 회복,GeneralSupportSkillIcon_08.sprite,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
20804,General,Healing,체력 회복,최대 체력의 25% 회복,GeneralSupportSkillIcon_08.sprite,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
20901,General,HealBonusRate,회복량 증가,회복량 5% 증가,GeneralSupportSkillIcon_09.sprite,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
20902,General,HealBonusRate,회복량 증가,회복량 8% 증가,GeneralSupportSkillIcon_09.sprite,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
20903,General,HealBonusRate,회복량 증가,회복량 10% 증가,GeneralSupportSkillIcon_09.sprite,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
20904,General,HealBonusRate,회복량 증가,회복량 12% 증가,GeneralSupportSkillIcon_09.sprite,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
21001,General,HpRegen,체력 재생 증가,1초마다 최대 체력의 0.5% 만큼 회복,GeneralSupportSkillIcon_10.sprite,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
21002,General,HpRegen,체력 재생 증가,1초마다 최대 체력의 0.8% 만큼 회복,GeneralSupportSkillIcon_10.sprite,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
21003,General,HpRegen,체력 재생 증가,1초마다 최대 체력의 1.2% 만큼 회복,GeneralSupportSkillIcon_10.sprite,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
21004,General,HpRegen,체력 재생 증가,1초마다 최대 체력의 1.5% 만큼 회복,GeneralSupportSkillIcon_10.sprite,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
21101,General,CriticalDamage,치명타 데미지 증가,치명타 데미지 5% 증가,GeneralSupportSkillIcon_11.sprite,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,45
21102,General,CriticalDamage,치명타 데미지 증가,치명타 데미지 8% 증가,GeneralSupportSkillIcon_11.sprite,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,55
